,name,gender,birthdate,deathdate,birthplace,deathplace,residence,education,occupation,employer
116,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2014-01-01T00:00:00Z,Boston,Brookline,Boston,"Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston, Roxbury Memorial High School","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
117,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-01T00:00:00Z,Boston,Brookline,Boston,"Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston, Roxbury Memorial High School","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
118,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-22T00:00:00Z,Boston,Brookline,Boston,"Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston, Roxbury Memorial High School","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
119,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2014-01-01T00:00:00Z,Boston,Boston,Boston,"School of the Museum of Fine Arts, Boston, Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
120,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-01T00:00:00Z,Boston,Boston,Boston,"School of the Museum of Fine Arts, Boston, Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
121,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-22T00:00:00Z,Boston,Boston,Boston,"School of the Museum of Fine Arts, Boston, Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
122,Jonathan Lyndon Chase,male,1989-01-01T00:00:00Z,,,,"Philadelphia, Cheltenham Township","The University of the Arts, Pennsylvania Academy of the Fine Arts","artist, visual artist",
123,Joseph Norman,male,1957-01-01T00:00:00Z,,Chicago,,"Chicago, Hull","University of Cincinnati, University of Illinois at Urbana–Champaign, University of Arkansas at Pine Bluff","artist, university teacher",University of Georgia
124,Joseph Yoakum,male,1889-02-22T00:00:00Z,1972-12-25T00:00:00Z,Ash Grove,Rock Island,,,"drawer, circus performer",
125,Joshua Johnson,male,1765-01-01T00:00:00Z,1830-01-01T00:00:00Z,Baltimore,,,,painter,
126,Joyce J. Scott,female,1948-01-01T00:00:00Z,,Baltimore,,,"Rochester Institute of Technology, Maryland Institute College of Art","artist, jewelry designer",
127,Juan Logan,male,1946-08-16T00:00:00Z,,Nashville,,Belmont,"Howard University, Clark Atlanta University, Maryland Institute College of Art","artist, university teacher",University of North Carolina at Chapel Hill
128,Julian Abele,male,1881-04-30T00:00:00Z,1950-04-18T00:00:00Z,Philadelphia,Philadelphia,"Paris, Philadelphia","Pennsylvania Academy of the Fine Arts, Cheyney University of Pennsylvania, University of Pennsylvania School of Design, Philadelphia College of Art, Institute for Colored Youth",architect,Horace Trumbauer
129,Julian Abele,male,1881-04-30T00:00:00Z,1950-04-23T00:00:00Z,Philadelphia,Philadelphia,"Paris, Philadelphia","Pennsylvania Academy of the Fine Arts, Cheyney University of Pennsylvania, University of Pennsylvania School of Design, Philadelphia College of Art, Institute for Colored Youth",architect,Horace Trumbauer
130,Kara Walker,female,1969-11-26T00:00:00Z,,Stockton,,,"Rhode Island School of Design, Atlanta College of Art","photographer, artist, illustrator, painter, sculptor, graphic artist, visual artist, performance artist, drawer, installation artist, video artist",Columbia University
131,Keith Anthony Morrison,male,1942-01-01T00:00:00Z,,Linstead,,,School of the Art Institute of Chicago,"artist, curator, university teacher, art critic","Fisk University, University of Chicago, University of Michigan, University of Maryland, DePaul University, Maryland Institute College of Art"
132,Kerry James Marshall,male,1955-10-17T00:00:00Z,,Birmingham,,Chicago,Otis College of Art and Design,"painter, drawer",University of Illinois at Chicago
133,Kevan Hall,male,1957-10-11T00:00:00Z,,Detroit,,California,"Cass Technical High School, Fashion Institute of Design & Merchandising",fashion designer,
134,LaToya Ruby Frazier,female,1982-01-01T00:00:00Z,,Braddock,,"New York City, Chicago, New Brunswick","Syracuse University, Edinboro University of Pennsylvania","photographer, curator, educator, performance artist, installation artist, video artist, book artist","Yale University, Rutgers University, Syracuse University, School of the Art Institute of Chicago, Braddock Carnegie Library"
135,Larry Walker,male,1935-01-01T00:00:00Z,,Franklin,,"Atlanta, Harlem",Wayne State University,artist,
136,Lisa Corinne Davis,female,1958-01-01T00:00:00Z,,Baltimore,,"Brooklyn, Hudson","Pratt Institute, Hunter College",artist,Hunter College
137,Lonnie Graham,male,1954-01-01T00:00:00Z,,,,,"San Francisco Art Institute, NSCAD University","photographer, visual artist",
138,Lonnie Holley,male,1950-02-10T00:00:00Z,,Birmingham,,,,"musician, painter, sculptor, performance artist, drawer, assemblage artist, photographer",
139,Loretta Pettway,female,1942-01-01T00:00:00Z,,Boykin,,Boykin,,"artist, quilter",
140,Lorna Simpson,female,1960-08-13T00:00:00Z,,Brooklyn,,,"University of California, San Diego, School of Visual Arts, High School of Art and Design","photographer, printmaker, drawer, video artist, collagist",
141,Louis B. Sloan,male,1932-01-01T00:00:00Z,2008-10-15T00:00:00Z,Philadelphia,,Philadelphia,Pennsylvania Academy of the Fine Arts,"conservator, artist, university teacher","Philadelphia Museum of Art, Pennsylvania Academy of the Fine Arts"
142,Louis Delsarte,male,1944-09-01T00:00:00Z,2020-05-02T00:00:00Z,Brooklyn,Atlanta,,"University of Arizona, Pratt Institute","professor, artist, painter",Morehouse College
143,Louis Draper,male,1935-01-01T00:00:00Z,2002-01-01T00:00:00Z,,,"Richmond, Harlem",Virginia State University,photographer,
144,Louisiana Bendolph,female,1960-10-20T00:00:00Z,,Boykin,,"Mobile, Boykin",,"artist, printmaker, quilter",
145,Lucinda Toomer,female,1888-02-05T00:00:00Z,1983-01-01T00:00:00Z,Sumter County,,,,artist,
146,Magalene Wilson,female,1898-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,Boykin,,artist,
147,Margo Humphrey,female,1942-06-25T00:00:00Z,,Oakland,,,"Stanford University, California College of the Arts","artist, educator, sculptor, university teacher, children's writer, printmaker, drawer, installation artist","Makerere University, University of Maryland, University of California, Santa Cruz, University of Benin, Tamarind Institute"
148,Marie Hensley,female,1870-01-01T00:00:00Z,1932-01-01T00:00:00Z,,,North Carolina,,"artist, seamstress, domestic worker",
149,Mark Bradford,male,1961-11-20T00:00:00Z,,Los Angeles,,Los Angeles,California Institute of the Arts,"artist, painter, sculptor, printmaker, drawer, installation artist, video artist, conceptual artist, photographer",
150,Martha Jane Pettway,female,1898-01-01T00:00:00Z,2003-01-01T00:00:00Z,,,Boykin,,"artist, quilter",
151,Martin Puryear,male,1941-05-23T00:00:00Z,,"Washington, D.C.",,,"The Catholic University of America, Yale School of Art","artist, illustrator, sculptor",University of Illinois at Urbana–Champaign
152,Martina Johnson-Allen,female,1947-08-04T00:00:00Z,,Philadelphia,,,"Pennsylvania State University, The University of the Arts, Tyler School of Art",artist,
153,Mary Jackson,female,1945-01-01T00:00:00Z,,Mount Pleasant,,Charleston,,"artist, textile artist",
154,Mary Lee Bendolph,female,1935-01-01T00:00:00Z,,Boykin,,Boykin,,"printmaker, quilter",
155,Max Belcher,male,1944-01-01T00:00:00Z,,Philadelphia,,"Liberia, Cambridge","Columbia University, New School, School of Visual Arts",photographer,
156,Mel Edwards,male,1937-05-04T00:00:00Z,,Houston,,,"University of Southern California, Yale University, Los Angeles City College","painter, sculptor, drawer",Rutgers University
157,Mequitta Ahuja,female,1976-01-01T00:00:00Z,,Grand Rapids,,"Baltimore, Weston","University of Illinois at Chicago, Hampshire College","artist, painter, visual artist",
158,Michael D. Harris,male,1948-01-01T00:00:00Z,,,,Atlanta,"Yale University, Bowling Green State University, Howard University","writer, artist, university teacher",Emory University
159,Michael Kelly Williams,male,1950-03-08T00:00:00Z,,Neuilly-sur-Seine,,,"University of Michigan, Brooklyn College",artist,
160,Ming Smith,female,1951-01-01T00:00:00Z,,Detroit,,"Columbus, Harlem",Howard University,"photographer, visual artist",
161,Minnie Evans,female,1892-12-12T00:00:00Z,1987-12-16T00:00:00Z,Pender County,,"Wilmington, Wrightsville Beach",,"illustrator, gatekeeper, drawer",
162,Moe Brooker,male,1940-01-01T00:00:00Z,,Philadelphia,,Philadelphia,"Pennsylvania Academy of the Fine Arts, Tyler School of Art","painter, visual artist","New School, Pennsylvania Academy of the Fine Arts, Moore College of Art and Design, Cleveland Institute of Art"
163,Monica E. Brown,female,1949-07-24T00:00:00Z,2015-07-29T00:00:00Z,Bedford–Stuyvesant,Willow Grove,Philadelphia,"Drexel University, Prospect Heights High School, Brooklyn Museum Art School","exhibition curator, fashion designer",Philadelphia Museum of Art
164,Mose Tolliver,male,1918-07-04T00:00:00Z,2006-10-30T00:00:00Z,Pike Road,Montgomery,,,painter,
165,Moses Williams,male,1777-01-01T00:00:00Z,1825-01-01T00:00:00Z,Philadelphia,,Philadelphia,,"artist, silhouette artist",
166,Nannette Acker Clark,female,1948-01-01T00:00:00Z,,Buffalo,,Philadelphia,"University of Pennsylvania, Pennsylvania Academy of the Fine Arts, Philadelphia College of Art",artist,
167,Nellie Mae Abrams,female,1946-01-01T00:00:00Z,2005-01-01T00:00:00Z,Boykin,,Wilcox County,,"artist, quilter",
168,Nellie Mae Rowe,female,1900-07-04T00:00:00Z,1982-10-18T00:00:00Z,Fayetteville,Georgia,,,"domestic worker, artist, painter",
169,Nettie Young,female,1916-01-01T00:00:00Z,2010-01-01T00:00:00Z,,,Alberta,,artist,
170,Nick Cave,male,1959-02-04T00:00:00Z,,Fulton,,Chicago,"Cranbrook Educational Community, Kansas City Art Institute, Cranbrook Academy of Art","artist, sculptor, costume designer, fashion designer, textile artist, performance artist, sound artist",
171,Norma Morgan,female,1928-01-01T00:00:00Z,2017-01-01T00:00:00Z,New Haven,New Britain,"United Kingdom, Manhattan","Art Students League of New York, Whitney School of Art",artist,
172,Norman Lewis,male,1901-07-23T00:00:00Z,1979-01-01T00:00:00Z,Harlem,New York City,,Columbia University,"painter, drawer",
173,Norman Lewis,male,1909-01-01T00:00:00Z,1979-01-01T00:00:00Z,Harlem,New York City,,Columbia University,"painter, drawer",
174,Norman Lewis,male,1901-07-23T00:00:00Z,1979-08-27T00:00:00Z,Harlem,New York City,,Columbia University,"painter, drawer",
175,Norman Lewis,male,1909-01-01T00:00:00Z,1979-08-27T00:00:00Z,Harlem,New York City,,Columbia University,"painter, drawer",
176,Odili Donald Odita,male,1966-01-01T00:00:00Z,,Enugu,,"Philadelphia, Columbus","Ohio State University, Bennington College",painter,Tyler School of Art
177,Patrick Kelly,male,1954-09-24T00:00:00Z,1990-01-01T00:00:00Z,Vicksburg,,,Parsons School of Design,fashion designer,
178,Paul F. Keene Jr.,male,1920-08-24T00:00:00Z,2009-11-26T00:00:00Z,Philadelphia,Philadelphia,,,painter,Temple University
179,Pearlie Posey,female,1894-01-01T00:00:00Z,1984-01-01T00:00:00Z,,,Yazoo City,,quilter,
180,Peter Bentzon,male,1783-01-01T00:00:00Z,1850-01-01T00:00:00Z,Danish West Indies,,"Philadelphia, West Indies, Danish West Indies",,silversmith,
181,Peter Hill,male,1767-07-19T00:00:00Z,1820-12-01T00:00:00Z,Burlington Township,,Burlington Township,,clockmaker,
182,Purvis Young,male,1943-02-04T00:00:00Z,2010-04-20T00:00:00Z,Miami,Miami,,,"artist, painter",
183,Purvis Young,male,1943-02-04T00:00:00Z,2010-04-21T00:00:00Z,Miami,Miami,,,"artist, painter",
184,Purvis Young,male,1943-02-04T00:00:00Z,2010-04-24T00:00:00Z,Miami,Miami,,,"artist, painter",
185,Quentin Morris,male,1945-05-02T00:00:00Z,,,,Philadelphia,Pennsylvania Academy of the Fine Arts,"artist, visual artist",
186,Ray Hamilton,male,1919-01-01T00:00:00Z,1996-01-01T00:00:00Z,Columbia,Brooklyn,,,artist,
187,Raymond Saunders,male,1934-10-28T00:00:00Z,,Pittsburgh,,,"Carnegie Institute of Technology, California College of the Arts",painter,"California College of the Arts, California State University, East Bay"
188,Raymond Steth,male,1917-01-01T00:00:00Z,1997-02-06T00:00:00Z,Norfolk,Philadelphia,,,painter,
189,Reginald Gammon,male,1921-03-31T00:00:00Z,2005-11-04T00:00:00Z,Philadelphia,Albuquerque,"New York City, Philadelphia, Albuquerque",Philadelphia Museum School of Art,"artist, university teacher",Western Michigan University
190,Richard Hunt,male,1935-09-12T00:00:00Z,,South Side,,Chicago,"University of Illinois at Chicago, School of the Art Institute of Chicago","artist, educator, sculptor, printmaker","United States Army, University of Illinois at Chicago, California Institute of the Arts, School of the Art Institute of Chicago, Yale School of Art"
191,Robert Blackburn,male,1920-12-10T00:00:00Z,2003-04-21T00:00:00Z,Summit,New York City,New York City,DeWitt Clinton High School,"painter, visual artist, printmaker, lithographer",
192,Robert S. Duncanson,male,1821-01-01T00:00:00Z,1872-12-21T00:00:00Z,Fayette,Detroit,"London, Montreal, Detroit, Cincinnati, Monroe",,"photographer, painter",
193,Rodney Ewing,male,1964-01-01T00:00:00Z,,,,San Francisco,"West Virginia University, Louisiana State University",artist,
194,Roland Ayers,male,1932-07-02T00:00:00Z,2014-05-18T00:00:00Z,Germantown,Philadelphia,"Greece, Netherlands, Germany, Philadelphia",The University of the Arts,"artist, painter, visual artist, art educator","Philadelphia College of Art, Allens Lane Art Center"
195,Romare Bearden,male,1911-09-02T00:00:00Z,1988-03-12T00:00:00Z,Charlotte,New York City,New York City,"Art Students League of New York, Steinhardt School of Culture, Education, and Human Development","writer, artist, painter, visual artist, drawer, collagist",
196,Ron Tarver,male,1953-01-01T00:00:00Z,,Fort Gibson,,"Philadelphia, Elkins Park","The University of the Arts, Northeastern State University, Missouri Photo Workshop","photographer, photojournalist, university teacher, journalist, visual artist","The Philadelphia Inquirer, Swarthmore College"
197,Roy DeCarava,male,1919-12-09T00:00:00Z,2009-10-27T00:00:00Z,New York City,Manhattan,Bedford–Stuyvesant,Cooper Union,"photographer, university teacher",Hunter College
198,Russell T. Gordon,male,1936-07-03T00:00:00Z,2013-11-01T00:00:00Z,Philadelphia,Montreal,Montreal,"University of Wisconsin–Madison, Temple University","professor, artist, painter",Concordia
199,Sam Doyle,male,1906-01-01T00:00:00Z,1985-01-01T00:00:00Z,,,,,painter,
200,Sam Doyle,male,1906-01-01T00:00:00Z,1985-09-24T00:00:00Z,,,,,painter,
201,Sam Gilliam,male,1933-11-30T00:00:00Z,,Tupelo,,,University of Louisville,"painter, sculptor, printmaker, drawer",
202,Sam Middleton,male,1927-04-02T00:00:00Z,2015-07-19T00:00:00Z,New York City,Schagen,,,artist,
203,Samella Lewis,female,1924-02-27T00:00:00Z,,New Orleans,,,"Ohio State University, Hampton University, Dillard University","historian, art historian, printmaker",
204,Samuel Joseph Brown,male,1907-01-01T00:00:00Z,1994-01-01T00:00:00Z,Wilmington,Philadelphia,Philadelphia,University of Pennsylvania,artist,"School District of Philadelphia, Federal Art Project, Public Works of Art Project"
205,Samuel Joseph Brown,male,1907-01-01T00:00:00Z,1994-10-23T00:00:00Z,Wilmington,Philadelphia,Philadelphia,University of Pennsylvania,artist,"School District of Philadelphia, Federal Art Project, Public Works of Art Project"
206,Sarah Mary Taylor,female,1916-08-12T00:00:00Z,2000-01-01T00:00:00Z,Anding,,Yazoo City,,artist,
207,Sargent Claude Johnson,male,1887-10-07T00:00:00Z,1967-10-10T00:00:00Z,Boston,San Francisco,,San Francisco Art Institute,"artist, graphic designer, painter",
208,Sonya Clark,female,1967-01-01T00:00:00Z,,"Washington, D.C.",,Richmond,"Amherst College, Art Institute of Chicago, Sidwell Friends School, Cranbrook Academy of Art","artist, university teacher","Amherst College, Virginia Commonwealth University"
209,"Sorrells-Adewale, Edgar",male,1936-01-01T00:00:00Z,,Philadelphia,,,"Pennsylvania State University, Morgan State University","artist, university teacher","Howard University, Santa Fe Community College"
210,Stanley K. Whitney,male,1946-01-01T00:00:00Z,,Philadelphia,,New York City,"Kansas City Art Institute, Yale School of Art",artist,
211,Stephen Burrows,male,1943-05-15T00:00:00Z,,Newark,,,"Fashion Institute of Technology, Newark Arts High School",fashion designer,
212,Stephen Burrows,male,1943-09-15T00:00:00Z,,Newark,,,"Fashion Institute of Technology, Newark Arts High School",fashion designer,
213,Sue Willie Seltzer,female,1921-01-01T00:00:00Z,2010-01-01T00:00:00Z,,,Alberta,,quilter,
214,Syd Carpenter,female,1953-01-01T00:00:00Z,,Pittsburgh,,Philadelphia,Tyler School of Art,"professor, artist, sculptor, visual artist, ceramicist",Swarthmore College
215,"Thomas Gross, Jr.",male,1775-01-01T00:00:00Z,1839-01-01T00:00:00Z,,,Germantown,,cabinetmaker,
216,"Thornton Dial, Sr.",male,1928-09-10T00:00:00Z,2016-01-25T00:00:00Z,Emelle,McCalla,Bessemer,,"artist, painter, sculptor, drawer",
217,Toyin Ojih Odutola,female,1985-01-01T00:00:00Z,,Nigeria,,New York City,"University of Alabama in Huntsville, Pope John Paul II Catholic High School, Yale University, University of Alabama, California College of the Arts","painter, drawer",
218,Trenton Doyle Hancock,male,1974-01-01T00:00:00Z,,Oklahoma City,,,Tyler School of Art,"artist, painter, printmaker",
219,Valerie Maynard,female,1937-01-01T00:00:00Z,,New York City,,,Goddard College,"artist, designer",
220,Vaughn Stubbs,male,1946-01-01T00:00:00Z,2016-02-25T00:00:00Z,,Philadelphia,"Philadelphia, Reading",Pennsylvania Academy of the Fine Arts,"teacher, military personnel, artist, jewelry designer","United States Army, Philadelphia Museum of Art"
221,Vincent Smith,male,1929-01-01T00:00:00Z,2003-01-01T00:00:00Z,New York City,,,,"visual artist, printmaker",
222,Wadsworth Jarrell,male,1929-11-20T00:00:00Z,,Albany,,"Washington, D.C., Chicago","Howard University, School of the Art Institute of Chicago","painter, sculptor, printmaker",University of Georgia
223,Willi Smith,male,1948-02-29T00:00:00Z,1987-04-17T00:00:00Z,Philadelphia,New York City,,"The University of the Arts, Parsons School of Design",fashion designer,
224,William E. Smith,male,1913-01-01T00:00:00Z,1997-01-01T00:00:00Z,Chattanooga,California,,"Cleveland Institute of Art, Chouinard Art Institute","artist, painter, printmaker",
225,William Earle Williams,male,1950-01-01T00:00:00Z,,Vicksburg,,,"Yale University, Hamilton College","photographer, artist, university teacher",
226,William Edmondson,male,1874-01-01T00:00:00Z,1951-02-07T00:00:00Z,Nashville,Nashville,,,"painter, printmaker",
227,William Edmondson,male,1882-01-01T00:00:00Z,1951-02-07T00:00:00Z,Nashville,Nashville,,,"painter, printmaker",
228,William Edouard Scott,male,1884-03-11T00:00:00Z,1964-05-16T00:00:00Z,Indianapolis,Chicago,,"Académie Colarossi, Académie Julian, School of the Art Institute of Chicago","educator, painter, muralist, illustrator",Federal Art Project
229,William H. Johnson,male,1901-03-18T00:00:00Z,1970-04-13T00:00:00Z,Florence,Central Islip,,Wilson High School,"painter, printmaker",
230,"William H. Williams, Jr.",male,1920-08-11T00:00:00Z,1988-06-12T00:00:00Z,Brooklyn,Copenhagen,Mexico,"Skowhegan School of Painting and Sculpture, Brooklyn Museum Art School",visual artist,Fisk University
231,William L. Hawkins,male,1895-07-27T00:00:00Z,1990-01-01T00:00:00Z,Madison County,Dayton,Columbus,,"artist, painter",
232,William Majors,male,1930-07-21T00:00:00Z,1982-08-29T00:00:00Z,Indianapolis,Portsmouth,,Herron School of Art and Design,"artist, university teacher",
233,William Plummer,male,1873-01-01T00:00:00Z,1943-01-01T00:00:00Z,,,Smyth County,,"inventor, cabinetmaker",
234,William T. Williams,male,1942-07-17T00:00:00Z,,Cross Creek Township,,,"Yale University, Pratt Institute, Yale School of Art, High School of Art and Design","professor, artist, painter, printmaker",Brooklyn College
235,Willie Birch,male,1942-01-01T00:00:00Z,,New Orleans,,New Orleans,"Southern University, Maryland Institute College of Art","artist, university teacher",Touro College
236,Willie Cole,male,1955-01-01T00:00:00Z,,Newark,,New Jersey,School of Visual Arts,"visual artist, printmaker",
